DateTime,State,Fuel Type,Supply
02/07/2021 00:00,SA,Gas,13823.869
02/07/2021 00:00,SA,Liquid Fuel,0
02/07/2021 00:00,SA,Solar,759.782
02/07/2021 00:00,SA,Wind,29231.267
02/07/2021 00:00,TAS,Gas,0
02/07/2021 00:00,TAS,Hydro,25156.372
02/07/2021 00:00,TAS,Wind,3763.609
02/07/2021 00:00,VIC,Battery,114.774
02/07/2021 00:00,VIC,Brown coal,103192.165
02/07/2021 00:00,VIC,Gas,3247.075
02/07/2021 00:00,VIC,Hydro,11977.707
02/07/2021 00:00,VIC,Solar,1798.895
02/07/2021 00:00,VIC,Wind,31705.569
03/07/2021 00:00,NSW,Black coal,152423.222
03/07/2021 00:00,NSW,Gas,4689.363
03/07/2021 00:00,NSW,Hydro,1945.285
03/07/2021 00:00,NSW,Liquid Fuel,0
03/07/2021 00:00,NSW,Solar,6768.586
03/07/2021 00:00,NSW,Wind,12821.45
03/07/2021 00:00,QLD,Battery,0
03/07/2021 00:00,QLD,Biomass,1373.517
03/07/2021 00:00,QLD,Black coal,127995.946
03/07/2021 00:00,QLD,Gas,18858.787
03/07/2021 00:00,QLD,Hydro,3414.966
03/07/2021 00:00,QLD,Liquid Fuel,530.918
03/07/2021 00:00,QLD,Solar,2049.236
03/07/2021 00:00,QLD,Wind,2477.109
03/07/2021 00:00,SA,Battery,221.33
03/07/2021 00:00,SA,Gas,13098.502
03/07/2021 00:00,SA,Liquid Fuel,0
03/07/2021 00:00,SA,Solar,1291.117
03/07/2021 00:00,SA,Wind,19995.463
03/07/2021 00:00,TAS,Gas,0
03/07/2021 00:00,TAS,Hydro,24671.424
03/07/2021 00:00,TAS,Wind,3075.926
03/07/2021 00:00,VIC,Battery,108.536
03/07/2021 00:00,VIC,Brown coal,112467.107
03/07/2021 00:00,VIC,Gas,3692.254
03/07/2021 00:00,VIC,Hydro,12761.271
03/07/2021 00:00,VIC,Solar,2550.978
03/07/2021 00:00,VIC,Wind,25741.612
04/07/2021 00:00,NSW,Black coal,148444.506
04/07/2021 00:00,NSW,Gas,5967.415
04/07/2021 00:00,NSW,Hydro,4770.494
04/07/2021 00:00,NSW,Liquid Fuel,0
04/07/2021 00:00,NSW,Solar,7345.346
04/07/2021 00:00,NSW,Wind,15597.172
04/07/2021 00:00,QLD,Battery,0
04/07/2021 00:00,QLD,Biomass,1343.842
04/07/2021 00:00,QLD,Black coal,121561.456
04/07/2021 00:00,QLD,Gas,9660.16
04/07/2021 00:00,QLD,Hydro,3297.459
04/07/2021 00:00,QLD,Liquid Fuel,147.72
04/07/2021 00:00,QLD,Solar,8434.46
04/07/2021 00:00,QLD,Wind,7439.782
04/07/2021 00:00,SA,Battery,278.807
04/07/2021 00:00,SA,Gas,13541.932
04/07/2021 00:00,SA,Liquid Fuel,0
04/07/2021 00:00,SA,Solar,1340.264
04/07/2021 00:00,SA,Wind,13163.148
04/07/2021 00:00,TAS,Gas,0
04/07/2021 00:00,TAS,Hydro,25109.69
04/07/2021 00:00,TAS,Wind,3662.191
04/07/2021 00:00,VIC,Battery,106.542
04/07/2021 00:00,VIC,Brown coal,111652.535
04/07/2021 00:00,VIC,Gas,4006.231
04/07/2021 00:00,VIC,Hydro,7356.832
04/07/2021 00:00,VIC,Solar,2360.654
04/07/2021 00:00,VIC,Wind,33907.58
05/07/2021 00:00,NSW,Black coal,161655.635
05/07/2021 00:00,NSW,Gas,12264.994
05/07/2021 00:00,NSW,Hydro,7658.314
05/07/2021 00:00,NSW,Liquid Fuel,0
05/07/2021 00:00,NSW,Solar,5691.34
05/07/2021 00:00,NSW,Wind,12108.72
05/07/2021 00:00,QLD,Battery,0
05/07/2021 00:00,QLD,Biomass,1410.783
05/07/2021 00:00,QLD,Black coal,127239.314
05/07/2021 00:00,QLD,Gas,17933.558
05/07/2021 00:00,QLD,Hydro,4022.544
05/07/2021 00:00,QLD,Liquid Fuel,1366.151
05/07/2021 00:00,QLD,Solar,9885.574
05/07/2021 00:00,QLD,Wind,7753.928
05/07/2021 00:00,SA,Battery,306.356
05/07/2021 00:00,SA,Gas,29724.798
05/07/2021 00:00,SA,Liquid Fuel,470.277
05/07/2021 00:00,SA,Solar,885.53
05/07/2021 00:00,SA,Wind,1414.67
05/07/2021 00:00,TAS,Gas,0
05/07/2021 00:00,TAS,Hydro,35931.206
05/07/2021 00:00,TAS,Wind,6025.943
05/07/2021 00:00,VIC,Battery,65.579
05/07/2021 00:00,VIC,Brown coal,111739.551
05/07/2021 00:00,VIC,Gas,11752.21
05/07/2021 00:00,VIC,Hydro,20310.606
05/07/2021 00:00,VIC,Solar,1778.232
05/07/2021 00:00,VIC,Wind,9575.841
06/07/2021 00:00,NSW,Black coal,175318.701
06/07/2021 00:00,NSW,Gas,15366.167
06/07/2021 00:00,NSW,Hydro,10632.483
06/07/2021 00:00,NSW,Liquid Fuel,0
06/07/2021 00:00,NSW,Solar,4441.541
06/07/2021 00:00,NSW,Wind,2793.333
06/07/2021 00:00,QLD,Battery,0
06/07/2021 00:00,QLD,Biomass,1048.483
06/07/2021 00:00,QLD,Black coal,129718.94
06/07/2021 00:00,QLD,Gas,21537.463
06/07/2021 00:00,QLD,Hydro,4013.12
06/07/2021 00:00,QLD,Liquid Fuel,1852.47
06/07/2021 00:00,QLD,Solar,7665.598
06/07/2021 00:00,QLD,Wind,4035.8
06/07/2021 00:00,SA,Battery,452.058
06/07/2021 00:00,SA,Gas,31290.168
06/07/2021 00:00,SA,Liquid Fuel,358.679
06/07/2021 00:00,SA,Solar,1551.251
06/07/2021 00:00,SA,Wind,9600.122
06/07/2021 00:00,TAS,Gas,385.192
06/07/2021 00:00,TAS,Hydro,41486.408
06/07/2021 00:00,TAS,Wind,3193.367
06/07/2021 00:00,VIC,Battery,68.591
06/07/2021 00:00,VIC,Brown coal,102178.964
06/07/2021 00:00,VIC,Gas,11509.508
06/07/2021 00:00,VIC,Hydro,21671.781
06/07/2021 00:00,VIC,Solar,797.132
06/07/2021 00:00,VIC,Wind,5429.112
07/07/2021 00:00,NSW,Black coal,174079.313
07/07/2021 00:00,NSW,Gas,9416.262
07/07/2021 00:00,NSW,Hydro,12700.772
07/07/2021 00:00,NSW,Liquid Fuel,0
07/07/2021 00:00,NSW,Solar,7022.61
07/07/2021 00:00,NSW,Wind,4337.695
07/07/2021 00:00,QLD,Battery,0
07/07/2021 00:00,QLD,Biomass,1409.65
07/07/2021 00:00,QLD,Black coal,126052.036
07/07/2021 00:00,QLD,Gas,20081.649
07/07/2021 00:00,QLD,Hydro,3770.189
07/07/2021 00:00,QLD,Liquid Fuel,1957.131
07/07/2021 00:00,QLD,Solar,8401.877
07/07/2021 00:00,QLD,Wind,3641.128
07/07/2021 00:00,SA,Battery,365.108
07/07/2021 00:00,SA,Gas,24148.901
07/07/2021 00:00,SA,Liquid Fuel,295.863
07/07/2021 00:00,SA,Solar,1714.892
07/07/2021 00:00,SA,Wind,18228.529
07/07/2021 00:00,TAS,Gas,188.996
07/07/2021 00:00,TAS,Hydro,44355.144
07/07/2021 00:00,TAS,Wind,1081.462
07/07/2021 00:00,VIC,Battery,64.731
07/07/2021 00:00,VIC,Brown coal,100381.512
07/07/2021 00:00,VIC,Gas,12853.836
07/07/2021 00:00,VIC,Hydro,14244.359
07/07/2021 00:00,VIC,Solar,1041.689
07/07/2021 00:00,VIC,Wind,6718.15
08/07/2021 00:00,NSW,Black coal,177633.96
08/07/2021 00:00,NSW,Gas,10627.12
08/07/2021 00:00,NSW,Hydro,16148.712
08/07/2021 00:00,NSW,Liquid Fuel,0
08/07/2021 00:00,NSW,Solar,4652.273
08/07/2021 00:00,NSW,Wind,7354.715
08/07/2021 00:00,QLD,Battery,0
08/07/2021 00:00,QLD,Biomass,1155.142
08/07/2021 00:00,QLD,Black coal,122909.337
08/07/2021 00:00,QLD,Gas,20934.999
